id,mol_weight,formula
C00002,507.181,C10H16N5O13P3
C00003,664.433,C21H28N7O14P2
C00005,745.4209,C21H30N7O17P3
C00007,31.9988,O2
C00011,44.0095,CO2
C00016,785.5497,C27H33N9O15P2
C00018,247.1419,C8H10NO6P
C00022,88.0621,C3H4O3
C00025,147.1293,C5H9NO4
C00026,146.0981,C5H6O5
C00029,566.3018,C15H24N2O17P2
C00031,180.1559,C6H12O6
C00036,132.0716,C4H4O5
C00037,75.0666,C2H5NO2
C00042,118.088,C4H6O4
C00043,607.3537,C17H27N3O17P2
C00047,146.1876,C6H14N2O2
C00048,74.0355,C2H2O3
C00049,133.1027,C4H7NO4
C00061,456.3438,C17H21N4O9P
C00062,174.201,C6H14N4O2
C00065,105.0926,C3H7NO3
C00067,30.026,CH2O
C00071,,CHOR
C00072,176.1241,C6H8O6
C00074,168.042,C3H5O6P
C00077,132.161,C5H12N2O2
C00078,204.2252,C11H12N2O2
C00079,165.1891,C9H11NO2
C00082,181.1885,C9H11NO3
C00084,44.0526,C2H4O
C00085,260.1358,C6H13O9P
C00089,342.2965,C12H22O11
C00091,867.6069,C25H40N7O19P3S
C00092,260.1358,C6H13O9P
C00093,172.0737,C3H9O6P
C00095,180.1559,C6H12O6
C00100,823.5974,C24H40N7O17P3S
C00101,445.4292,C19H23N7O6
C00106,112.0868,C4H4N2O2
C00109,102.0886,C4H6O3
C00111,170.0578,C3H7O6P
C00114,104.1708,C5H14NO
C00116,92.0938,C3H8O3
C00117,230.1098,C5H11O8P
C00121,150.1299,C5H10O5
C00123,131.1729,C6H13NO2
C00124,180.1559,C6H12O6
C00129,246.0921,C5H12O7P2
C00136,837.624,C25H42N7O17P3S
C00137,180.1559,C6H12O6
C00143,457.4399,C20H23N7O6
C00148,115.1305,C5H9NO2
C00154,1005.9429,C37H66N7O17P3S
C00161,,C2HO3R
C00164,102.0886,C4H6O3
C00166,164.158,C9H8O3
C00168,104.0615,C3H4O4
C00173,,C3H4OSR2
C00178,126.1133,C5H6N2O2
C00185,342.2965,C12H22O11
C00187,386.6535,C27H46O
C00188,119.1192,C4H9NO3
C00193,106.1219,C7H6O
C00195,,C19H36NO3R
C00196,154.1201,C7H6O4
C00197,186.0572,C3H7O7P
C00199,230.1098,C5H11O8P
C00204,178.14,C6H10O6
C00207,58.0791,C3H6O
C00212,267.2413,C10H13N5O4
C00216,150.1299,C5H10O5
C00222,88.0621,C3H4O3
C00232,102.0886,C4H6O3
C00236,266.0371,C3H8O10P2
C00246,88.1051,C4H8O2
C00247,180.1559,C6H12O6
C00248,205.3408,C8H15NOS2
C00250,167.162,C8H9NO3
C00251,226.1828,C10H10O6
C00257,196.1553,C6H12O7
C00258,106.0773,C3H6O4
C00263,119.1192,C4H9NO3
C00264,,C24H37N7O18P3SR
C00266,60.052,C2H4O2
C00272,241.2471,C9H15N5O3
C00273,178.14,C6H10O6
C00279,200.0838,C4H9O7P
C00280,286.4085,C19H26O2
C00295,156.0963,C5H4N2O4
C00296,192.1666,C7H12O6
C00309,150.1299,C5H10O5
C00311,192.1235,C6H8O7
C00314,169.1778,C8H11NO3
C00315,145.2459,C7H19N3
C00318,161.1989,C7H15NO3
C00322,160.1247,C6H8O5
C00325,589.3417,C16H25N5O15P2
C00331,203.1941,C11H9NO3
C00332,851.6075,C25H40N7O18P3S
C00342,,C10H14N4O4S2R4
C00345,276.1352,C6H13O10P
C00349,102.0886,C4H6O3
C00352,259.151,C6H14NO8P
C00353,450.4432,C20H36O7P2
C00357,301.1877,C8H16NO9P
C00376,284.4357,C20H28O
C00378,265.3546,C12H17N4OS
C00390,,C14H20O4(C5H8)n
C00392,182.1718,C6H14O6
C00400,156.2652,C10H20O
C00408,129.157,C6H11NO2
C00410,314.4617,C21H30O2
C00412,1033.9961,C39H70N7O17P3S
C00414,98.143,C6H10O
C00415,443.4133,C19H21N7O6
C00418,148.1571,C6H12O4
C00423,148.1586,C9H8O2
C00424,74.0785,C3H6O2
C00427,352.4651,C20H32O5
C00466,88.1051,C4H8O2
C00468,270.3661,C18H22O2
C00473,286.4516,C20H30O
C00477,464.6347,C27H44O6
C00479,58.0791,C3H6O
C00493,174.1513,C7H10O5
C00500,582.6463,C33H34N4O6
C00503,122.1198,C4H10O4
C00509,272.2528,C15H12O5
C00510,1031.9802,C39H68N7O17P3S
C00512,871.6402,C28H40N7O17P3S
C00517,240.4247,C16H32O
C00522,148.1571,C6H12O4
C00523,290.4403,C19H30O2
C00525,204.2252,C11H12N2O2
C00527,881.6335,C26H42N7O19P3S
C00535,288.4244,C19H28O2
C00546,72.0627,C3H4O2
C00552,150.0868,C4H6O6
C00557,84.1164,C5H8O
C00558,194.1394,C6H10O7
C00561,133.1473,C8H7NO
C00583,76.0944,C3H8O2
C00584,352.4651,C20H32O5
C00590,180.2005,C10H12O3
C00593,124.1158,C2H4O4S
C00599,384.6377,C27H44O
C00601,120.1485,C8H8O
C00603,134.0907,C3H6N2O4
C00605,,C24H37N7O17P3SR
C00618,194.1394,C6H10O7
C00619,272.425,C19H28O
C00621,,C20H38O7P2(C5H8)n
C00625,,C7H12NO6R
C00630,837.624,C25H42N7O17P3S
C00632,153.1354,C7H7NO3
C00637,159.1846,C10H9NO
C00639,354.481,C20H34O5
C00644,262.1517,C6H15O9P
C00659,146.1412,C6H10O4
C00672,214.1104,C5H11O7P
C00681,,C4H8O7PR
C00684,148.114,C5H8O5
C00685,,C3H2O2SR2
C00688,546.3137,C16H24N2O15P2
C00691,178.14,C6H10O6
C00695,408.5714,C24H40O5
C00696,352.4651,C20H32O5
C00717,,C2H5O2R
C00729,141.2108,C8H15NO
C00735,362.4599,C21H30O5
C00745,162.2316,C10H14N2
C00755,152.1473,C8H8O3
C00756,130.2279,C8H18O
C00757,336.3612,C20H18NO4
C00762,360.444,C21H28O5
C00766,224.2546,C15H12O2
C00785,138.124,C6H6N2O2
C00786,286.2794,C16H14O5
C00808,152.2334,C10H16O
C00814,284.2635,C16H12O5
C00822,195.1721,C9H9NO4
C00828,,C16H16O2(C5H8)n
C00830,118.045,C3H2O5
C00835,237.2153,C9H11N5O3
C00836,301.5078,C18H39NO2
C00843,154.2493,C10H18O
C00846,160.1247,C6H8O5
C00847,183.1614,C8H9NO4
C00848,168.2328,C10H16O2
C00860,141.171,C6H11N3O
C00869,298.4608,C18H34O3
C00877,835.6081,C25H40N7O17P3S
C00891,302.4941,C21H34O
C00897,342.2965,C12H22O11
C00900,132.1146,C5H8O4
C00903,132.1592,C9H8O
C00922,144.1253,C6H8O4
C00957,120.1271,C3H4O3S
C00964,152.2334,C10H16O
C00969,74.0785,C3H6O2
C00974,288.2522,C15H12O6
C00975,148.071,C4H4O6
C01012,130.1418,C6H10O3
C01015,131.1299,C5H9NO3
C01018,164.1565,C6H12O5
C01031,335.3336,C11H17N3O7S
C01033,851.6505,C26H44N7O17P3S
C01034,272.425,C19H28O
C01040,178.14,C6H10O6
C01050,679.4164,C20H31N3O19P2
C01056,178.231,C10H14N2O
C01062,194.1394,C6H10O7
C01063,909.6866,C28H46N7O19P3S
C01066,112.1265,C6H8O2
C01090,292.4562,C19H32O2
C01111,221.1663,C10H7NO5
C01123,152.2334,C10H16O
C01126,222.3663,C15H26O
C01138,661.554,C21H40N7O15P
C01142,146.1876,C6H14N2O2
C01147,114.1424,C6H10O2
C01151,310.0897,C5H12O11P2
C01163,186.1189,C7H6O6
C01176,330.4611,C21H30O3
C01179,180.1574,C9H8O4
C01189,386.6535,C27H46O
C01192,408.4666,C19H37O7P
C01198,166.1739,C9H10O3
C01203,,C18H33OSR
C01207,198.1727,C9H10O5
C01217,776.6827,C30H45N6O16P
C01226,292.4131,C18H28O3
C01227,288.4244,C19H28O2
C01244,431.9505,C9H6I2O4
C01268,354.2106,C9H15N4O9P
C01295,192.1666,C7H12O6
C01301,434.6517,C27H46O4
C01302,349.2305,C12H16NO9P
C01304,353.2258,C9H16N5O8P
C01312,352.4651,C20H32O5
C01378,288.2522,C15H12O6
C01408,212.2439,C14H12O2
C01412,72.1057,C4H8O
C01450,,COR2
C01460,432.3775,C21H20O10
C01471,56.0633,C3H4O
C01488,150.1299,C5H10O5
C01499,152.2334,C10H16O
C01500,154.2493,C10H18O
C01504,132.1592,C9H8O
C01516,285.3377,C17H19NO3
C01562,284.2635,C16H12O5
C01575,165.2322,C10H15NO
C01595,280.4455,C18H32O2
C01606,166.1308,C8H6O4
